--- Inicio do Log MES: 2025-11-24 21:06:33 ---

[2025-11-24 21:06:33.917] [TARGET DETECTADO] - (Estacao 3) X=-2.0, Y=0.0, Z=1.0
[2025-11-24 21:06:33.917] [POSICAO LIDA] - X=-1.9998766248193725, Y=0.0010155737358509963, Z=0.9959874435412784
[2025-11-24 21:06:34.921] [POSICAO LIDA] - X=-1.9998766247811741, Y=0.0010155737359291608, Z=0.9959874435412784
[2025-11-24 21:06:35.926] [POSICAO LIDA] - X=-1.9998766247517492, Y=0.001015573735996926, Z=0.9959874435412784
[2025-11-24 21:06:36.930] [POSICAO LIDA] - X=-1.9998766247299098, Y=0.0010155737360562954, Z=0.9959874435412784
[2025-11-24 21:06:37.934] [POSICAO LIDA] - X=-1.999876624712402, Y=0.0010155737360818464, Z=0.9959874435412784
[2025-11-24 21:06:38.939] [POSICAO LIDA] - X=-1.999876624698354, Y=0.0010155737361055364, Z=0.9959874435412784
[2025-11-24 21:06:39.942] [POSICAO LIDA] - X=-1.9998766246858732, Y=0.001015573736120352, Z=0.9959874435412784
[2025-11-24 21:06:40.945] [POSICAO LIDA] - X=-1.9998766246756112, Y=0.001015573736141059, Z=0.9959874435412784
[2025-11-24 21:06:41.948] [POSICAO LIDA] - X=-1.9998766246678754, Y=0.0010155737361495852, Z=0.9959874435412784
[2025-11-24 21:06:42.952] [POSICAO LIDA] - X=-1.9998766246619815, Y=0.0010155737361500514, Z=0.9959874435412784
[2025-11-24 21:06:43.955] [POSICAO LIDA] - X=-1.999876624657572, Y=0.0010155737361496465, Z=0.9959874435412784
[2025-11-24 21:06:44.959] [POSICAO LIDA] - X=-1.9998766246543793, Y=0.0010155737361628146, Z=0.9959874435412784
